crisisJST,yhat1,yhat2
0,,.032545909
0,,.033112384
0,.030435309,.032311197
0,.033384535,.032450218
0,.034316022,.03309181
0,.026476309,.032708675
0,.032550428,.03147253
0,.029560067,.032857407
0,.026336281,.032851491
0,.036158405,.032433584
0,.028069621,.034097522
0,.034221079,.03282145
0,.029194444,.033012222
0,.028814184,.032367416
0,.026943486,.032169592
0,.030507877,.032313563
0,.032408778,.033016972
0,.026224535,.032797255
0,.030202825,.031426709
0,.026985496,.032062296
0,.026723325,.031773135
0,.038936064,.031555012
0,.023220448,.032506675
0,.026394967,.029600956
0,.02365483,.030080708
0,.024416398,.030872269
0,.023935655,.031309243
0,.024236711,.031621359
0,.042198744,.032100387
0,.029338675,.033426307
0,.031424083,.029666198
0,.021623844,.028152697
0,.023835922,.027083298
0,.019177452,.027890567
0,.020526031,.028081138
0,.016932614,.029390372
0,.021963391,.030380368
0,.039986853,.032793596
0,.021542544,.034605522
0,.0535504,.029751468
0,.015463862,.030788496
0,.023360608,.025371298
0,.020666523,.026457215
0,.017841643,.027570771
0,.016860237,.027034312
0,.046371721,.027826706
0,.0076061976,.031379439
0,.050942346,.024585012
0,.023358259,.031340178
0,.018767193,.028069073
0,.025849432,.024536245
0,.009991657,.026437499
0,.031414732,.024819503
0,.01213799,.029210903
0,.011862582,.026695793
1,.055109721,.027622549
0,.0235344,.034571599
0,.018603569,.027118597
0,.015670942,.023514964
0,.026262639,.024832774
0,.010912185,.026820041
0,.014308077,.023406854
0,.017641382,.025380438
0,.012923256,.028218085
0,.083850883,.027060527
