year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
1985,Belgium,0,.025158351,.016464153,3.6464065e-18,.03183328,.023686968,.0093100928,.047846343,.046551201,.0015326162,.025199048,.033627752,.025497293,.014226179,.015246966,.028001389,.0020524156
1986,Belgium,0,.024712138,.008587731,1.5918749e-14,.03183328,.021658577,.014542729,.040926579,.1391938,.010860092,.024549417,.033627752,.0239789,.017702313,.014707379,.024233686,.0014475712
1987,Belgium,0,.028032757,.0054738075,4.1063841e-10,.03183328,.019233802,.065378271,.042407639,.22205336,.59145474,.020586351,.033627752,.02210523,.026544845,.019622352,.025983393,.049110644
1988,Belgium,0,.027745219,.0055966233,2.1010383e-23,.03183328,.019263471,.050354745,.041973747,.54128712,.0020538829,.022305736,.033627752,.022240862,.040966265,.016782891,.028915167,.00086103147
1989,Belgium,0,.030920299,.0048142434,2.2907170e-15,.03183328,.013011876,.096971415,.056779645,.06331294,.0032521288,.022020884,.033627752,.015644578,.071325175,.031391483,.027911695,.0037120464
1990,Belgium,0,.03107504,.0063605476,4.4117761e-13,.03183328,.015345245,.058415733,.051976964,.86954659,.87882262,.024170276,.033627752,.018749189,.096306153,.049161278,.029668268,.044534914
1991,Belgium,0,.032789391,.015032917,7.7283797e-22,.03183328,.022913285,.037309419,.03785938,.20614047,.030513106,.027940664,.033627752,.02858229,.059529796,.054002408,.035059474,.028476959
1992,Belgium,0,.034450945,.041322473,8.1000741e-19,.03183328,.016863933,.013918854,.036287941,.57978809,.65085721,.025903253,.033627752,.022229575,.02153443,.05291168,.031814549,.033951454
1993,Belgium,0,.021941276,.071610823,3.0203120e-15,.03183328,.019305192,.015452464,.033259306,.99351591,.99229097,.016741343,.033627752,.02422064,.015196758,.032491829,.031409703,.0058424436
1994,Belgium,0,.029802725,.025318563,6.8360869e-23,.03183328,.019805113,.042831641,.028731303,.44760486,.89978915,.020997599,.033627752,.023302022,.017267024,.018501321,.034217834,.027430339
1995,Belgium,0,.019208094,.017072298,6.5431586e-29,.03183328,.019155979,.016570918,.03423398,.99587995,.98801696,.021275489,.033627752,.023723641,.033437744,.015856983,.030337343,.0067730197
1996,Belgium,0,.025986426,.0035292339,1.0340422e-21,.03183328,.026376026,.044880867,.034762818,.67951012,.57505804,.025580686,.033627752,.03166173,.047058918,.012603406,.029246233,.0056745466
